Date ->,03/24/26,CUSIP,SECURITY TYPE,RATE,MATURITY DATE,CALL DATE,BUY,SELL,END OF DAY,,Type,Buy yield,Sell yield,EOD yield,Bid/ask yield spread,Bid/ask price spread
,,91282CME8,MARKET BASED NOTE,4.250%,12/31/26,,100.328125,100.312500,0.000000,,NOTE,3.807%,3.828%,,0.021%,0.0156%
,,91282CDQ1,MARKET BASED NOTE,1.250%,12/31/26,,98.078125,98.062500,0.000000,,NOTE,3.802%,3.823%,,0.021%,0.0159%
,,912828YX2,MARKET BASED NOTE,1.750%,12/31/26,,98.453125,98.437500,0.000000,,NOTE,3.803%,3.824%,,0.021%,0.0159%
,,91282CJT9,MARKET BASED NOTE,4.000%,01/15/27,,100.140625,100.125000,0.000000,,NOTE,3.817%,3.837%,,0.020%,0.0156%
,,91282CMH1,MARKET BASED NOTE,4.125%,01/31/27,,100.234375,100.218750,0.000000,,NOTE,3.839%,3.858%,,0.019%,0.0156%
,,912828Z78,MARKET BASED NOTE,1.500%,01/31/27,,98.046875,98.031250,0.000000,,NOTE,3.839%,3.858%,,0.019%,0.0159%
,,912828V98,MARKET BASED NOTE,2.250%,02/15/27,,98.609375,98.593750,0.000000,,NOTE,3.839%,3.857%,,0.018%,0.0158%
,,91282CKA8,MARKET BASED NOTE,4.125%,02/15/27,,100.234375,100.218750,0.000000,,NOTE,3.853%,3.871%,,0.018%,0.0156%
,,91282CMP3,MARKET BASED NOTE,4.125%,02/28/27,,100.265625,100.250000,0.000000,,NOTE,3.830%,3.847%,,0.017%,0.0156%
,,912828ZB9,MARKET BASED NOTE,1.125%,02/28/27,,97.546875,97.531250,0.000000,,NOTE,3.824%,3.841%,,0.018%,0.0160%
,,91282CEC1,MARKET BASED NOTE,1.875%,02/28/27,,98.218750,98.187500,0.000000,,NOTE,3.834%,3.869%,,0.035%,0.0318%
,,91282CKE0,MARKET BASED NOTE,4.250%,03/15/27,,100.437500,100.406250,0.000000,,NOTE,3.788%,3.821%,,0.033%,0.0311%
,,91282CMV0,MARKET BASED NOTE,3.875%,03/31/27,,100.078125,100.062500,0.000000,,NOTE,3.795%,3.811%,,0.016%,0.0156%
,,91282CEF4,MARKET BASED NOTE,2.500%,03/31/27,,98.703125,98.687500,0.000000,,NOTE,3.809%,3.825%,,0.016%,0.0158%
,,912828ZE3,MARKET BASED NOTE,0.625%,03/31/27,,96.859375,96.843750,0.000000,,NOTE,3.795%,3.812%,,0.016%,0.0161%
,,91282CKJ9,MARKET BASED NOTE,4.500%,04/15/27,,100.687500,100.656250,0.000000,,NOTE,3.830%,3.860%,,0.030%,0.0310%
,,91282CMY4,MARKET BASED NOTE,3.750%,04/30/27,,99.890625,99.875000,0.000000,,NOTE,3.850%,3.864%,,0.015%,0.0156%
,,912828ZN3,MARKET BASED NOTE,0.500%,04/30/27,,96.406250,96.375000,0.000000,,NOTE,3.863%,3.893%,,0.030%,0.0324%
,,91282CEN7,MARKET BASED NOTE,2.750%,04/30/27,,98.812500,98.781250,0.000000,,NOTE,3.859%,3.889%,,0.029%,0.0316%
,,912828X88,MARKET BASED NOTE,2.375%,05/15/27,,98.343750,98.312500,0.000000,,NOTE,3.867%,3.896%,,0.029%,0.0318%
,,91282CKR1,MARKET BASED NOTE,4.500%,05/15/27,,100.671875,100.656250,0.000000,,NOTE,3.890%,3.904%,,0.014%,0.0155%
,,91282CNE7,MARKET BASED NOTE,3.875%,05/31/27,,99.984375,99.968750,0.000000,,NOTE,3.885%,3.898%,,0.014%,0.0156%
,,912828ZS2,MARKET BASED NOTE,0.500%,05/31/27,,96.125000,96.093750,0.000000,,NOTE,3.872%,3.900%,,0.028%,0.0325%
,,91282CET4,MARKET BASED NOTE,2.625%,05/31/27,,98.546875,98.531250,0.000000,,NOTE,3.887%,3.901%,,0.014%,0.0159%
,,91282CKV2,MARKET BASED NOTE,4.625%,06/15/27,,100.859375,100.843750,0.000000,,NOTE,3.897%,3.910%,,0.013%,0.0155%
,,91282CNL1,MARKET BASED NOTE,3.750%,06/30/27,,99.828125,99.812500,0.000000,,NOTE,3.886%,3.899%,,0.013%,0.0157%
,,91282CEW7,MARKET BASED NOTE,3.250%,06/30/27,,99.203125,99.187500,0.000000,,NOTE,3.896%,3.909%,,0.013%,0.0158%
,,912828ZV5,MARKET BASED NOTE,0.500%,06/30/27,,95.859375,95.843750,0.000000,,NOTE,3.874%,3.887%,,0.013%,0.0163%
,,91282CKZ3,MARKET BASED NOTE,4.375%,07/15/27,,100.609375,100.593750,0.000000,,NOTE,3.890%,3.903%,,0.012%,0.0155%
,,91282CNP2,MARKET BASED NOTE,3.875%,07/31/27,,99.953125,99.937500,0.000000,,NOTE,3.908%,3.920%,,0.012%,0.0156%
,,91282CAD3,MARKET BASED NOTE,0.375%,07/31/27,,95.390625,95.375000,0.000000,,NOTE,3.897%,3.909%,,0.012%,0.0164%
,,91282CFB2,MARKET BASED NOTE,2.750%,07/31/27,,98.484375,98.468750,0.000000,,NOTE,3.906%,3.918%,,0.012%,0.0159%
,,9128282R0,MARKET BASED NOTE,2.250%,08/15/27,,97.765625,97.750000,0.000000,,NOTE,3.907%,3.919%,,0.012%,0.0160%
,,91282CLG4,MARKET BASED NOTE,3.750%,08/15/27,,99.796875,99.781250,0.000000,,NOTE,3.899%,3.910%,,0.012%,0.0157%
,,91282CNV9,MARKET BASED NOTE,3.625%,08/31/27,,99.609375,99.593750,0.000000,,NOTE,3.906%,3.918%,,0.011%,0.0157%
,,91282CAH4,MARKET BASED NOTE,0.500%,08/31/27,,95.281250,95.250000,0.000000,,NOTE,3.914%,3.937%,,0.023%,0.0328%
,,91282CFH9,MARKET BASED NOTE,3.125%,08/31/27,,98.890625,98.875000,0.000000,,NOTE,3.927%,3.938%,,0.011%,0.0158%
,,91282CLL3,MARKET BASED NOTE,3.375%,09/15/27,,99.234375,99.218750,0.000000,,NOTE,3.914%,3.925%,,0.011%,0.0157%
,,91282CPB1,MARKET BASED NOTE,3.500%,09/30/27,,99.390625,99.375000,0.000000,,NOTE,3.917%,3.928%,,0.011%,0.0157%
,,91282CFM8,MARKET BASED NOTE,4.125%,09/30/27,,100.312500,100.281250,0.000000,,NOTE,3.910%,3.932%,,0.021%,0.0312%
,,91282CAL5,MARKET BASED NOTE,0.375%,09/30/27,,94.859375,94.843750,0.000000,,NOTE,3.899%,3.910%,,0.011%,0.0165%
